Sl. No.,State/ UT,Target Pig Population,Number of Animal Vaccinated
1,Andhra Pradesh,92500,15133
2,Arunachal Pradesh,356000,3237
3,Assam,1078330,277403
4,Bihar,240510,215297
5,Chhattisgarh,526901,348341
6,Karnataka,323836,262868
7,Maharashtra,14100,1930
8,Manipur,234900,948
9,Meghalaya,424900,31984
10,Mizoram,111800,29313
11,Nagaland,364300,18922
12,Odisha,135000,85918
13,Punjab,22900,19472
14,Rajasthan,108500,70113
15,Sikkim,24630,11717
16,Tripura,406250,67972
17,Uttar Pradesh,412600,326935
18,Uttarakhand,15860,9680
19,West Bengal,320000,317296
Total,Total,5213817,2114479
