name,monthly_temperature,pig_vaccinated,area,state_total_population,monthly_case_to_pop_ratio,high_risk_state,pop_density
Andaman and Nicobar Islands,26.16,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,26.46,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,27.22,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,28.22,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,28.0,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,27.6,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,27.25,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,27.07,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,26.8,,8249,104737.553,7.855408970401947e-06,1,12.697
Andaman and Nicobar Islands,26.81,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,26.94,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,26.59,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,26.16,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,26.46,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,27.22,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,28.22,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,28.0,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,27.6,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,27.25,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,27.07,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,26.8,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,26.81,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,26.94,,8249,104737.553,7.855408970401947e-06,1,12.697
Andaman and Nicobar Islands,26.59,,8249,104737.553,7.855408970401947e-06,0,12.697
Andaman and Nicobar Islands,26.16,,8249,104737.553,7.855408970401947e-06,1,12.697
Andaman and Nicobar Islands,26.46,,8249,104737.553,7.855408970401947e-06,1,12.697
Andaman and Nicobar Islands,27.22,,8249,104737.553,7.855408970401947e-06,1,12.697
Andaman and Nicobar Islands,28.22,,8249,104737.553,7.855408970401947e-06,1,12.697
Andaman and Nicobar Islands,28.0,,8249,104737.553,7.855408970401947e-06,1,12.697
Andaman and Nicobar Islands,27.6,,8249,104737.553,7.855408970401947e-06,1,12.697
Andaman and Nicobar Islands,27.25,,8249,104737.553,7.855408970401947e-06,1,12.697
